,Date,Rating,Review
37,2020-05-29 00:38:22,5,"O catálogo é bem diversificado, gostei muito!"
38,2020-05-29 00:33:44,1,Pessimo
39,2020-05-29 00:29:54,5,Maravilhoso
40,2020-05-29 00:27:04,1,No aplicativo a resolução máxima é 720p.
41,2020-05-29 00:26:07,2,"Fiquei empolgado com o Prime e até fiz a assinatura, mas procurei alguns filmes antigos como Dr. Jivago por exemplo e não tem , não dá pra colocar todos aqui, Isto não quer dizer que não assisto filmes atuais, Porém ficamos um tanto frustrados, Outro Filme que não encontrei foi Corajosos, não é lançamento mas é recente e os Filmes Cristãos são pouquíssimos, Porém tem a vantagem de frete grátis na compra de produtos, Isto é um diferencial, por hora 3 estrelas..."
42,2020-05-29 00:25:04,2,Vcs sabem se tem velozes e furiosos no amazon prime?
43,2020-05-29 00:24:48,1,Não tem a serie do flash!!!!!!
44,2020-05-29 00:22:24,1,Fizeram uma atualização hj do app para Tv e está péssimo. Travando muito. Agora se colocamos a língua do aplicativo em português ele automaticamente deduz que vc quer assistir o áudio dos filmes e séries em português . Aí tenho de modificar manualmente um por um para inglês com legendas .... Melhorem isso. Amazon uma empresa bilionária não consegue investir num aplicativo melhor... Me poupe
45,2020-05-29 00:18:22,3,Gostei!! Apesar que tem algumas filmes que eu queria que tivesse mas não tem né!
46,2020-05-29 00:10:27,2,fica travando
47,2020-05-29 00:06:23,4,"Ótimo ap mas ainda pode melhorar mais, quem sabe poder adicionar mais algum perfil, e por os nomes dos filmes em português, o preço é bem assecivel..."
48,2020-05-29 00:03:32,5,Ótimo aplicativo
49,2020-05-29 00:02:58,5,"Amei o app, super recomendo!!"
50,2020-05-28 23:57:59,5,"Otimo, aplicativo."
51,2020-05-28 23:56:25,5,Otima
52,2020-05-28 23:55:29,3,Infelizmente O Aplicativo Não Está Dando A Classificação Indicativa Nós Filmes. Espero Que Resolvam Isso
53,2020-05-28 23:54:23,2,"Ruim de manusear, tem melhores por aí."
54,2020-05-28 23:52:00,5,😁😁😁
55,2020-05-28 23:51:24,4,"Melhorou muuuuito: layout, legendas, estabilidade, catálogo. Certeza que vai melhorar mais, vou aguardar..e voltei a ser prime. Agora sim!"
56,2020-05-28 23:50:03,5,O melhor custo benefício!
57,2020-05-28 23:35:57,5,Excelente página
58,2020-05-28 23:33:49,1,Eu odiei aparte da sanha com a quele teste
59,2020-05-28 23:26:43,5,Excelente
60,2020-05-28 23:24:26,5,Muto bom varios filmes legais series etc.......
61,2020-05-28 23:23:19,3,Muito bom os filmes e a qualidade da imagem ! Mais a plataforma é ruim !
62,2020-05-28 23:16:44,5,"Ótimo!! Muita variedade de filmes e series , muitas series classicas tambem , e filmes dos anos 90!!!! Vale á pene assinar👍👍"
63,2020-05-28 23:15:25,4,"Muito legal do nota 9,4"
64,2020-05-28 23:09:48,5,Incrível ❤️
65,2020-05-28 23:05:18,5,"Ameei,tem vários filmes (muitos mesmo),series que muitos app não tem, imagem ultra HD,não tenho o que reclamar,mas podiam colocar as series tudo junto e não separadas,quando vou assistir minha serie tenho que fica procurando a próxima temporada ,saindo e voltando.Arrumem isso porfavoooorr"
66,2020-05-28 23:03:19,5,Maravilhoso
67,2020-05-28 22:56:30,4,"Muito bom! Só não é melhor porque ainda não trouxe ""the originals"" e ""legacies"" aí sim, seria perfeito!!!!"
68,2020-05-28 22:55:57,3,O preço e ótimo .mais era pra ter o perfis
69,2020-05-28 22:54:59,2,"E legazinho, mas nao roda bem na minha tvbox as vezes demoooooora muita Isso me chateia ! Ta 2 estrelas"
70,2020-05-28 22:54:36,5,Gostei da variedade de filmes e séries. Muito bom.
71,2020-05-28 22:49:02,5,Simplesmente top de linha.
72,2020-05-28 22:43:48,5,Ótimo
73,2020-05-28 22:42:36,5,Bom
74,2020-05-28 22:40:39,5,Muito bom aplicativo
75,2020-05-28 22:34:56,4,"Melhorando cada vez mais, falta apenas opções de perfis de usuários dentro do App."
76,2020-05-28 22:26:10,5,"Ótimo app, faltou só espelhar do cell pra tv igual outras plataformas"
77,2020-05-28 22:21:45,5,Eu assisti frozen ll
78,2020-05-28 22:19:36,1,Odiei
79,2020-05-28 22:16:51,1,"Tá tão ruim, que toda vez que tento usar, tenho que reiniciar o aparelho. E dizer que quase cancelei o Netflix..."
80,2020-05-28 18:16:50,5,"Melhor aplicativo que já instalei! Parabéns e continuem assim, ótimos filmes e séries. E o preço acessível."
81,2020-05-28 18:16:05,5,Prime video te amo❤
82,2020-05-28 18:10:06,5,"Gostei do catálogo de filmes, parabéns!"
83,2020-05-28 18:07:45,5,"Bom, o app é ótimo, mas acredito que ficaria melhor se adicionassem mais conteúdo, principalmente filmes que já fizeram sucesso antes, mas que hoje não aparecem muito. E pelo meu gosto pessoal eu gostaria que adicionassem mais filmes asiáticos, em especial: crows: zero. E alguns filmes de animes a mais, pois tem muito poucos. Se puderem pôr o filme de konosuba seria ótimo, e de vários outros animes também, renderia um bom público já que a qualidade dos vídeos do app é ótima."
84,2020-05-28 18:01:29,5,Muito bom amei 🥰🥰🥰🥰
85,2020-05-28 17:58:39,5,Top
86,2020-05-28 17:52:03,5,Muito bom mas tirem um pouco de anuncios
87,2020-05-28 17:41:31,4,"Não gosto das propagandas entre os episódios da série que estou assistindo, quando tinha a opção de pular era melhor."
88,2020-05-28 17:32:14,5,"Falta mais séries,mas tá muito bom"
89,2020-05-28 17:30:46,2,"Indiquei a vários amigos, fui assinar e apenas com cartão de crédito. Não tenho, então não assino!"
90,2020-05-28 17:29:41,5,Excelente!
91,2020-05-28 17:26:05,5,"App ótimo,só falta um pouco mais de facilidade pra utilizar o conteúdo, as vezes e complicado...."
92,2020-05-28 17:25:53,1,"Preciso saber como faço para o aplicativo não ligar a Wifi sozinho,eu quero assistir na TV através de dados móveis e ele liga a Wifi,chato isso"
93,2020-05-28 17:19:21,4,Ótimo app
94,2020-05-28 17:19:14,5,Muito bom recomendo
95,2020-05-28 17:18:27,4,"Para ganhar mais uma estrela, só colocar mais filmes e continuar com os que tem... Ótimo"
96,2020-05-28 17:16:42,5,"Tô aqui pelo Flamengo, ainda não fechou, e se fechar faço minha família toda desinstalar o Netflix e baixar a Amazon😘✌ !"
97,2020-05-28 17:10:40,4,"Só falta tirar os anúncios que ficam dentro do app , isso atrapalha um pouco ao ver as series"
98,2020-05-28 16:55:42,5,Top
99,2020-05-28 16:54:41,1,"Minha TV é LG, sempre fica dando erro, trava e não volta logo"
100,2020-05-28 16:40:54,2,"O app é bom, mas só tem filmes legais, deveria ter mais opções de séries, tipo the 100 gossip girl, pretty little liars entre outras, deveria ter mais séries adolescentes, deveria ter mais doramas (séries asiáticas) e com legendas em português, ou dubladas não me façam preferir a netflix."
101,2020-05-28 16:35:42,1,Não conseguir baixar completa 100% mas não abre nem aparece na tela do celular
102,2020-05-28 16:31:26,5,Otimo
103,2020-05-28 16:30:33,5,Ñ consigo colocar na minha tv smart
104,2020-05-28 16:30:15,4,O App é bom. Mas tem alguns conteúdo para crianças que não está em português ou as vezes só a primeira temporada está em português e o restante em outro idioma e para crianças isso fica chato.
105,2020-05-28 16:29:10,1,Horrivel vc entra no login sem falar que na hora do código que a pessoa vai ver o código quando volta no aplicativo volta pro início horrivel
106,2020-05-28 16:28:54,1,Lixo de app pede loguin e senha várias vezes e não funciona lixo.. depois q vc paga vc não concegue falar com ninguém um completo lixo..
107,2020-05-28 16:26:50,2,"A tela está muito escura, mesmo com o brilho no máximo."
108,2020-05-28 16:17:18,1,Muito ruim fica travando os filmes
109,2020-05-28 16:10:50,5,"Olha pressisa melhorar o layout a home do amazon prime na tv, pois é muito enchuta e feinha mas de resto é bom."
110,2020-05-28 16:04:18,5,Maravilhoso
111,2020-05-28 16:03:30,5,perfeito
112,2020-05-28 16:03:11,5,"Excelente aplicativo, só me incomoda que tudo que eu já assisti continua na tela principal, como continue assistindo mesmo que eu tenha terminado."
113,2020-05-28 16:02:23,1,"Vcs são muito esperto, dão os 30 dias mais pra isso já tem que comprar ? Colocar um cartão de crédito? Aff não dar pra assistir se não colocar logo o cartão de crédito ."
114,2020-05-28 16:02:12,1,Tem dias que estou tentando fazer meu cadastro do cartão e não tá dando... Coloco meus dados todos corretos e nada!!
115,2020-05-28 16:00:11,5,Excelente! 😃👏👏👍
116,2020-05-28 15:52:44,5,Muito bom
117,2020-05-28 15:49:47,5,Perfeito
118,2020-05-28 15:49:40,4,Baixei assisti um filme ok Agora coloco na série Diário de um vampiro só que mostra problemas e o app fecha sozinho . Alguma notificação da Amazon ? Sobre isso .. Agradeço .
119,2020-05-28 15:43:02,4,Está faltando vários filmes sendo filmes antigos como filmes recentes de nao muito tempo como filmes de lançamento
120,2020-05-28 15:41:26,5,"Bom, mais poderia haver uma atualização significativa na plataforma, e poderia disponibilizar mais contas de acesso"
121,2020-05-28 15:39:52,5,Muito bom. Recomendo
122,2020-05-28 15:31:35,2,"No meu samsung a10 começou bem, mas agora fica travando todos os episódios das séries que tento assistir..."
123,2020-05-28 15:27:22,5,Excelente!!😉🤗
124,2020-05-28 15:26:37,5,Excelente app
125,2020-05-28 15:24:39,5,Amazon quando colocaram as outras temporadas de Hawaii five-o. As de CSi agora quero novas temporadas de Chicago PD quando chega... Gosto muito da plataforma.
126,2020-05-28 15:12:14,5,Eu ameiiii
127,2020-05-28 15:09:42,1,"Eu baixei o App, mas não consigo fazer a assinatura porque não quer aceitar meu cartã o de débito. O que vcs podem fazer?"
128,2020-05-28 14:59:15,4,Muito bom e o preço e ótimo
129,2020-05-28 14:58:47,5,Legal
130,2020-05-28 14:57:23,4,"gostei bastante do aplicativo, a única coisa que me desagrada e filmes que não tem dublagem em português e olha que tem ate filmes bem antigos que não tem dublagem."
131,2020-05-28 14:54:20,5,Muito bom
132,2020-05-28 14:50:37,5,Luisfeslpe
133,2020-05-28 14:47:21,1,Deveriam aceitar métodos de pagamento pelo Google
134,2020-05-28 14:44:58,2,Deixa muito a desejar...
135,2020-05-28 14:44:31,5,Perfeito
136,2020-05-28 14:26:20,5,Ótimo!
137,2020-05-28 14:23:47,4,"O serviço e bom, so acho que deveria aumentar o acervo e melhorar a usabilidade do aplicativo. Fora isso, é muito bom em relação de custo beneficio"
138,2020-05-28 14:21:49,5,"Usei gostei, e mudei. Bom e barato, net flix pra mim ja era"
139,2020-05-28 14:09:54,5,"Eu amei ,tem vários filmes que acabaram de sair do cinema .gostei muito"
140,2020-05-28 13:57:14,5,"O app é bom, mas é vergonhoso não suportar o Chromecast."
141,2020-05-28 13:50:18,1,"La aparece a opção débito,mas na hora de colocar as informações do cartão só aparece pra crédito!"
142,2020-05-28 13:48:19,5,Bom. Com Amazon prime fica inda melhor.
143,2020-05-28 13:25:24,3,O aplicativo dando erro e não abre mais! Consertem isso. Pagamos para usar.
144,2020-05-28 13:10:15,5,10 a 7 na concorrência
145,2020-05-28 13:03:33,4,"Eu acabei d instalar, gostei muito pois o filme ou série q eu quiser eu acho, só não gostei d uma coisa, é um teste d 30 dias grátis pq fica pedindo os dados do cartão de crédito, e qual é o cartão q aceita? Pq o certo é fazermos primeiro o teste grátis pra depois colocarmos os créditos. Eu acho q vou desinstalar ele, pq não tô conseguindo acessar nada."
146,2020-05-28 13:02:03,5,Excelente
147,2020-05-28 12:54:06,5,Catálogo excelente
148,2020-05-28 12:48:21,3,Gostaria de poder assistir na minha tv.
149,2020-05-28 12:30:52,3,"Já Coloquei 3 Cartões, 1 de Crédito os Outros 2 de Débito, Só Aceitou 1 de Débito do Itaú (o Único Que Eu Não Uso e Não Tem Nada Na Conta) os Que Eu Uso Não Aceitou, Como Faço Pra Colocar Meu Cartão de Débito da Caixa econômica"
150,2020-05-28 12:25:30,5,Uai IC com c
151,2020-05-28 12:21:46,5,Esse aplicativo e muito bom porém tem muitas pessoas reclamando do aplicativo so porque ele não funciona na tv
152,2020-05-28 12:19:49,5,Maravilhoso
153,2020-05-28 12:08:49,5,Ótima
154,2020-05-28 12:08:48,3,Cópia do Netflix.
155,2020-05-28 11:54:48,5,Sensacional
156,2020-05-28 11:50:17,5,Ok
157,2020-05-28 11:42:53,5,"Tenho gostado bastante de usar a Amazon, sempre tem filmes novos bons...."
158,2020-05-28 11:41:28,5,"Estou adorando, sempre filmes novos, preço acessível e catálogo top."
159,2020-05-28 11:35:30,1,"Isso é causada, propaganda falsa e enganosa"
160,2020-05-28 11:28:33,5,Muito bom os filmes sem erros muito legal os filmes
161,2020-05-28 11:26:36,3,As vezes a imagem fica ruim e as vezes até preto e branco! Precisaria melhorar mais nesse aspecto.
162,2020-05-28 11:19:09,5,"Muito bom, filmes recém lançados preço muito bom pelo pacote de serviços que oferece."
163,2020-05-28 11:01:11,4,"Ainda faltam filmes conhecidos porque eu queria assistir a Velozes e Furiosos e não achei, na verdade não tinha"
164,2020-05-28 11:00:08,2,"Bom app, mas não está trocando o idioma quando o vídeo é iniciado. Fica só dublado"
165,2020-05-28 10:29:43,1,"Vou desinstalar, não pega na TV,nem tem opção de espelhamento!Vou voltar para o Netflix"
166,2020-05-28 10:26:18,5,Muito bom
167,2020-05-28 10:23:21,5,A melhor plataforma de video
168,2020-05-28 09:58:18,3,"Ótimo para series da Warner e filmes, porém a dublagem para filmes é péssima, a ferramenta de busca não é ""precisa"" e muito vaga, recomendo porém com ressalvas."
169,2020-05-28 09:50:46,5,Excelente
170,2020-05-28 09:45:57,5,Excelente.
171,2020-05-28 09:31:56,5,Muito bom! Obrigado!
172,2020-05-28 09:08:56,5,"Bom preço, muitos serviços. Muito bom App"
173,2020-05-28 08:42:58,4,"O app tem uma lista mais variada que a Netflix, o único problema é que as vezes quando vc está assistindo um filme ele trava e vc é obrigado a sair e voltar ao app para continuar com o filme. Isso é muito frustante e irritante."
174,2020-05-28 07:30:37,5,Ótimo!
175,2020-05-28 07:04:52,5,Muito bom adorei diversidade e preço justo.
176,2020-05-28 06:54:35,5,Series excelentes!
177,2020-05-28 06:52:07,1,Pior porcaria q existe. Pessoa na moral baixem (NETFLIX) por favor
178,2020-05-28 06:43:19,2,O app precisa de otimizações visuais e praticidade
179,2020-05-28 06:32:22,5,"O catalogo e o preço me conquistaram, mesmo tendo pouco conteudo comparado a netflix, tem mais recentes e já que não assisto muito vou demorar pra ver os melhores do catalogo. Por enquanto to gostando"
180,2020-05-28 06:29:39,5,Disponibilidade de filmes e séries muito bom. A qualidade da imagem é excelente.
181,2020-05-28 06:07:01,4,"Sinto falta de alguns programas que se tivesse tornaria este app único... Como ""Todo Mundo Odeia o Chris"" e gravações famosas do tipo... De resto, seu conteúdo é excepcional, com detalhamento dos filmes e seus atores, etc."
182,2020-05-28 06:01:25,5,Muito bom !
183,2020-05-28 05:56:05,1,Ao dar o play para assistir algum conteúdo a imagem não carrega mas o video continua passando com o aúdio e tela preta! Achei péssimo.
184,2020-05-28 05:52:29,4,"Gosto dos retrôs, mas precisam investir mais nos lançamentos! A idéia te integrar uma conta para todos os serviços é ótima e funciona muito bem!"
185,2020-05-28 05:51:36,5,O aplicativo poderia ter uma forma do usuário poder favoritar e avaliar o que assistiu. Sendo possível pesquisar posteriormente em seu perfil.
186,2020-05-28 05:48:24,5,Excelente.
187,2020-05-28 05:44:20,5,Muito legal
188,2020-05-28 05:41:20,5,Tem muita opiçao
189,2020-05-28 05:38:22,1,"Só UMA opção de pagamento? Aí não dá, vocês erraram feio demais, ridículo isso"
190,2020-05-28 05:35:10,5,Ótimo
191,2020-05-28 05:20:09,4,A imagem ficou ruim antes do final. Mas desliguei e liguei de novo. E ficou legal.
192,2020-05-28 05:17:53,2,A imagem não fica boa no aplicativo pra celular!!! Quero poder assistir as coisas no celular com qualidade boa.. Arrumem isso!
193,2020-05-28 05:16:36,5,Muito bom!
194,2020-05-28 05:15:35,5,Espetáculo
195,2020-05-28 04:55:50,5,Ótimo
196,2020-05-28 04:43:23,5,Excelente
197,2020-05-28 04:42:45,5,Melhor que netflix kkkkk
198,2020-05-28 04:33:11,4,"O catálogo é ótimo, mas o aplicativo definitivamente precisa de melhorias. Vez ou outra muda o idioma sozinho, não dá pra cancelar a opção de pop-up ao tentar fechar o app, mas principalmente é muito chato ter que ficar pulando propagandas e prévias de outras séries considerando que você já paga pelo serviço."
199,2020-05-28 04:27:12,5,"Muito bom!!!! vale a pena baixar, juro"
200,2020-05-28 04:19:53,4,"Eu amei, filmes, séries, preço ótimo, vídeo com alta qualidade, sem reclamações."
201,2020-05-28 04:14:43,4,Falta apenas um app pra smartv. Só algumas podem ter
202,2020-05-28 04:08:25,5,Bom
203,2020-05-28 04:05:45,5,"Maravilhoso, muito satisfatório."
204,2020-05-28 04:05:26,4,"Otimo, só precisa de mais variedades."
205,2020-05-28 04:03:47,4,Até Agora boa
206,2020-05-28 03:59:17,5,E muito bom mais eu acho que falta mais séries para adolescentes tipo teen wolf mundo sombrio de Sabrina essas coisas adolescentes
207,2020-05-28 03:49:59,2,"Qualidade de recepção ótima. Peca por ter poucas opções de filmes, series e animes."
208,2020-05-28 03:46:08,5,Muito bom!
209,2020-05-28 03:41:36,5,Amo esse app da Amazon muito muito bom top top
210,2020-05-28 03:38:30,5,Excelente qualidade de vídeos.
211,2020-05-28 03:38:25,5,Bacana demais
212,2020-05-28 03:35:43,5,Só tem que adicionar mais filmes porquê fiz pesquisa de filmes simples que fizeram muito sucesso a uns anos atrás e vocês não tem e uma crítica construtiva poderia organizar mais a play list dos filmes porquê vi várias filmes dentro de outras grades que não tem nada haver. Mas peço mesmo que adicione mas filmes tanto de agora mas como antigos trilogias como vocês mesmo tem etc. 😉
213,2020-05-28 03:34:48,4,Muito bom
214,2020-05-28 03:33:25,5,Muito bom gostei muito
215,2020-05-28 03:28:48,5,Bom
216,2020-05-28 03:27:14,5,😍
217,2020-05-28 03:27:00,5,Bom demais
218,2020-05-28 03:21:48,5,Excelente. Grande variedade de títulos e ótima qualidade. Os conteúdos originais também são excelentes.
219,2020-05-28 03:21:47,5,"Otimo app, mas o ruim é que a minha conta sai toda hora no xbox, de resto é top"
220,2020-05-28 03:21:32,5,Muito bom
221,2020-05-28 03:21:27,5,Melhor amando
222,2020-05-28 03:20:32,5,amei está jogo
223,2020-05-28 03:19:40,3,"Bom, mas tem detalhes que ainda o deixam atrás de concorrentes como Netflix. Poderiam criar maneiras melhores de conhecer novos títulos, as opções da tela inicial são todas sugestões do app e não parecem usar o histórico do usuário em consideração. Deveria haver a opção de criar perfis para que mais de uma pessoa use a mesma conta."
224,2020-05-28 03:07:21,5,"Conteúdo variado, preço excelente! Amo ❤"
225,2020-05-28 03:04:52,5,"Em período de experiência, gostando muito. Achei várias séries interessantes para rever e muita coisa nova também."
226,2020-05-28 02:58:53,5,Extremamente agradavel
227,2020-05-28 02:57:56,4,Muito bom!
228,2020-05-28 02:57:40,4,"É bem legal,só não consigo acionar onde pode compartilhar com a tv"
229,2020-05-28 02:57:02,5,Ótimo
230,2020-05-28 02:55:46,5,Ótimo
231,2020-05-28 02:54:02,3,Interface podia ser melhor
232,2020-05-28 02:46:34,4,Muito bom
233,2020-05-28 02:46:26,5,Otimo app para filmes e séries.
234,2020-05-28 02:46:14,5,Muito bom
235,2020-05-28 02:45:14,1,"Vocês poderiam incluir a forma de pagamento, só aceitam cartão de crédito e porque não débito? Lamentável."
236,2020-05-28 02:44:22,5,Top de mais melhor q a netflix sem falar q é bem mais barato
237,2020-05-28 02:31:00,2,Assinei e me arrependi. Muitas poucas opções de séries e filmes. Fica muito atrás da Netflix
238,2020-05-28 02:26:41,4,"Ótima instabilidade, plataforma fácil de utilizar. Só falta ampliar o conteúdo agora!"
239,2020-05-28 02:24:50,4,Muita interessante
240,2020-05-28 02:23:09,5,"Gostei Muito, mas pra ficar melhor deveria ser todos filmes e séries dublados"
241,2020-05-28 02:21:18,5,Perfeito!
242,2020-05-28 02:19:19,5,bomm
243,2020-05-28 02:09:26,5,Ótimo amei
244,2020-05-28 02:08:08,5,Ótimo app
245,2020-05-28 02:07:04,5,Muito bom pra passar o tempo
246,2020-05-28 02:06:22,5,Uma app simplismente extraordinario espero q continue assim ja recomendei pros meus amigos e familiares
247,2020-05-28 02:01:47,5,"Boa noite, na opção quando baixei o prime vídeo para o Tvbox quando coloco na opção de áudio ele fica em branco a opção é não muda nem nada, já no telefone é normal não da erro, ajuda ai prime vídeo. Obrigado OBS: É na conta da minha esposa do tv box não altera o áudio"
248,2020-05-28 01:55:09,5,"Excelente. Aplicativo ótimo, só uma pena não estar dividido por temas como: ação, aventura, romance e blá blá blá..."
249,2020-05-28 01:54:26,1,"Assinei o Amazon Prime Instalei o App para assistir as filmes e séries, mas o app não abre!"
250,2020-05-28 01:50:10,5,Excelente
251,2020-05-28 01:47:31,5,Muito bom
252,2020-05-28 01:43:08,5,0 defeitos
253,2020-05-28 01:42:33,4,Gostando
254,2020-05-28 01:42:24,5,Gostei muito
255,2020-05-28 01:42:20,1,"Não consigo entrar porque ficam pedindo para indentificar pra ver se eu não sou um robo ai eu escrevo as letras e os numeros certinho e da erro,que sacanagem é essa 😡"
256,2020-05-28 01:41:22,5,Ótimo
257,2020-05-28 01:39:21,1,"Preciso de ajuda urgente, não consigo assistir nada nesse app não abre nada e quando tento mexer na configuração não consigo fica pedindo login e senha todo tempo quero canceeelaaaaaarrrrrr não presta!"
258,2020-05-28 01:38:58,5,"Prefiro opinar que poderia ter mais funcionalidades. Poderia ser mais prático (os comandos, portas e links...) Há outros app do gênero, com funcionalidades espetaculares para o usuário. Este app, pode melhorar, e muito."
259,2020-05-28 01:32:33,5,Melhor custo benefício de streaming que eu já tive. Recomendo.
260,2020-05-28 01:30:24,3,Não roda na minha tv
261,2020-05-28 01:26:49,5,Muito bom.
262,2020-05-28 01:26:46,1,Nao consigo acesar a minha conta redefino a senha e nem asim faz o login aparece uma mesagem e diz que nao e um site da amazon e redireciona pra outro site principal e nao abre a plataforma
263,2020-05-28 01:25:15,4,"Bom aplicativo, mas poderia ter as telas separadas como na NETFLIX ."
264,2020-05-28 01:23:48,1,Cadê todo mundo odeia o chris ?
265,2020-05-28 01:22:11,1,"Tentei fazer a assinatura grátis por 30 dias com o meu cartão de débito, mesmo colocando as informações do cartão corretamente, dizia que tinha algum erro. Tentei pelo cartão de crédito da minha mãe, e o dinheiro da conta dela sumiu. Eu obviamente pretendia continuar pagando e usando a plataforma. Só achei uma falta de respeito oferecer 30 dias grátis, e pegar o dinheiro do cartão após fazer a assinatura."
266,2020-05-28 01:15:56,5,Muito melhor que a Netflix
267,2020-05-28 01:15:33,1,"Não consigo add nenhum dos meus cartões pra comecar a usar, como faço isso se so aparece que o numero do cartão está incorreto sendo q eu arrumo todos certinhos, alguém me ajuda"
268,2020-05-28 01:13:50,4,Satisfatória. Mas tem séries com erros.
269,2020-05-28 01:13:42,1,"Baixei o app ontem estou em período experimental e não consigo assistir nenhum EP pois ele simplesmente não se mantém aberto nem 5 seg. Eu tinha deixado a Netflix para virar cliente da Amazon mas deste jeito não dá. Horrível, horrível e é uma pena pq o valor mensal e seus filmes e séries são maravilhosos."
270,2020-05-28 01:12:28,1,Não presta nada não vejo nem um filme olha quer coloquei todos os dados quer pediu fora quer pra cancelar tá sendo uma meda
271,2020-05-28 01:10:59,1,"Olá, preciso de ajuda, efetuei meu cadastro e não estou conseguindo entrar em nenhuma plataforma. E quando parece que eu consegui, aparece pra mim que todos os filmes estão indisponíveis. Experiência está sendo horrível!"
272,2020-05-28 01:07:43,4,"Após atualizar hoje 07/03/2020, o app ficou com uma mistureba de inglês e português!"
273,2020-05-28 01:05:38,4,"Oi, tudo bem, mas o que eu"
274,2020-05-28 00:58:50,4,Bom
275,2020-05-28 00:58:00,5,O melhor 💕
276,2020-05-28 00:55:02,5,Muito bom eu gostei e recomendo
277,2020-05-28 00:51:48,1,"Adicionei o número do cartão, porém não finaliza, problema com a forma de pagamento... Tá de brincadeira meu.."
278,2020-05-28 00:48:43,1,Não estou conseguindo baixar
279,2020-05-28 00:48:13,5,Muito bom preço bom não tem mais anúncios muitos filmes bom adorei
280,2020-05-28 00:47:05,1,Nao estou conseguindo assistir nada quando vou assistir alguma coisa da como indisponível no momento
