,Unnamed: 0,Date,Rating,Review,Classification
1804,1804,2020-05-22 00:55:09,3,"Tem muitos filmes bons e o download é rápido mesmo a minha internet não sendo muito veloz, mas o que me incomoda é o campo buscar, as vezes colocamos o nome de um filme ou seriado e ele não acha mesmo tendo na programação, eu tenho dificuldade para encontrar os títulos.",Positiva
1839,1839,2020-05-21 23:16:02,3,O catalogo dos filme e bom só a resolução da imagem que e horrível eu assinei mais to pensando em cancela po causa causa disso.A imagem fica ruim cheia de quadrado.,Negativa
1841,1841,2020-05-21 23:14:32,3,Para avançar e retroceder pela televisão é horrível.... podem mudar isso? Deixar como no celular... e não aumentando a velocidade como é agora?,Negativa
1848,1848,2020-05-21 22:59:21,3,A tabela de filmes e séries demora ser atualizado,Positiva
1853,1853,2020-05-21 22:39:20,3,"O App é bom, o preço é ótimo, mas acho o catálogo um pouco incompleto. Por exemplo, eu queria assistir os primeiros filmes do Homem Aranha, mas não tem, outros clássicos, também não tem. Alguns filmes novos são ótimos, mas aqueles clássicos também fazem falta. As séries, algumas também fazem falta. Fica minha sugestão de ampliar mais ainda o catálogo.",Positiva
1861,1861,2020-05-21 22:17:04,3,Estou tentando assistir mas quando clico em algum vídeo o app fecha sozinho. 😔,Negativa
1865,1865,2020-05-21 22:02:07,3,A imagem é muito ruim em televisão ful HD,Negativa
1870,1870,2020-05-21 21:53:32,3,"Gostaria de saber quais cartões de crédito a Amazon prime vídeo aceita, por favor.",Negativa
1873,1873,2020-05-21 21:43:54,3,"Prime amazon bom. Dei 3 estrela pelo motivo das propagandas entre um capítulo e outro isso é irritante ninguém gosta , todas vez que preciso sai e volto pra assitir não está onde parou mais sim em capítulos anteriores isso não ajuda melhore por favor, assim também essa difícil de passa a abertura as vezes e são muitas vezes a opção pula abertura não aparece. Mais lembrando que o custo benefício e ótimo apenas 10 reais com a opção de de um sub para um streaming na twitch ,",Negativa
1886,1886,2020-05-21 20:31:51,3,"Quando instalei dava pra baixar pra assistir direto no celular, atualizou e não da mais pra baixar...",Negativa
1897,1897,2020-05-21 19:56:16,3,"O App tá sempre atualizando más nunca resolve o problema da qualidade dos vídeos. Tenho que fazer download para obter uma qualidade um pouco melhor. Já usei e uso outros serviços de streaming e não tenho esse problema. E atualizei o App todo empolgado, quando abri o vídeo foi a mesma coisa, a qualidade cai tanto que não dá pra ver nada.",Negativa
1907,1907,2020-05-21 19:14:20,3,Depois da atualização para adiantar o filme ficou melhor pode colocar também mais opinião poderiam colocar a série os Simpsons,Positiva
1918,1918,2020-05-21 18:44:45,3,App é bom em questão de filmes . Mais só que eu entro em algumas série e o app fecha sozinho.,Positiva
1951,1951,2020-05-21 15:36:56,3,"Gosto muito do conteúdo porém a interface deixa a desejar, sem contar que a gente ta assistindo um filme e do nada a tela fica preta e sai do app. Vamos melhorar amazon, tem tudo pra ser muito bom.",Negativa
1955,1955,2020-05-21 15:24:40,3,"Precisa melhorar muito, como por exemplo: Vídeos baixados não permite uso em bloqueio de tela, na tv não permite mudar legenda ou áudio assistindo, precisa voltar na página anterior, também não é possível avançar de forma gradual.",Negativa
1961,1961,2020-05-21 14:34:34,3,"Tipo, eu queria assistir Friends, eu sei que tem na Prime mas quando eu vou pesquisar aparece outras coisas. Eu assinei a Prime Vídeo mas só queria que ajustasse mais para a TV, e também queria que fosse mais fácil quando pesquissase achasse na hora. So isso",Positiva
1963,1963,2020-05-21 14:27:51,3,"Uma função que faz falta é a aba Em Breve, mostrando as estreias e o que tá por vi, com alertas e datas, etc....",Positiva
1977,1977,2020-05-21 12:38:04,3,Muito bom. Só acho que a grade de séries é bem pequena comparada com outros apps,Positiva
1983,1983,2020-05-21 12:10:14,3,"O aplicativo poderia ser melhor no Android, no iOS ele está muito mais acabado, a barra de navegação tem uns problemas nas animações, e poderia se aproveitar melhor a tela, o meu é um s10+ com a câmera perfurada, então fica uma barra preta no topo do aparelho no app.",Positiva
1987,1987,2020-05-21 12:06:17,3,"Quero assistir no site big ben a teoria dublado todas as temporadas. Como também o csi q esta metade das temporadas. Por isso são três estrelas. Vejam aí por favor. Gosto muito a site, mas preisan colocar as temporadas todas de uma série se tiver.",Positiva
2011,2011,2020-05-21 05:32:50,3,Acho que deveria ter a possibilidade de criar perfil para usuários,Positiva
